titre
veilleur/euse stratégique
animateur/trice de site web
architecte des systèmes d'information
architecte web
auditeur/trice externe
auditeur/trice interne
chargé/e des méthodes outils et qualité en informatique
chef/fe de projet communication digitale
chef/fe de projet informatique
chef/fe de projet web-mobile
consultant/e en conduite de changement
consultant/e en systèmes d'information
consultant/e green IT
data manager
spécialiste de l'accessibilité numérique
chargé/e des méthodes outils et qualité en informatique
